CUSIP,Moody's Rating,S&P Rating,DatedDate,Maturity,BondType,Bond SubType,Description,Coupon,CouponType,FirstCpnDate,LastCpnDate,CpnFrequency,Callable,CallPrices (if Callable Bonds),CallStartDate (if Callable),CallEndDate (if Callable),Qty,Price,Min,Max,YTM,YTW1,Accrued Interest,Estimated Total,OrigFaceValue,AdjFaceValue,DayCountConvention,IssueDate,Currency,InterestCommencementDate,SettlementDate,HolidayCalendar,,,,
60505179,,BBB-,11/13/2020,11/13/2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60505179,,BBB-,9/6/2019,9/1/2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60505179,,BBB-,3/17/2021,3/15/1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60505179,,BBB-,7/21/2016,10/1/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860630607,,BBB,11/4/2022,10/15/1932,BND,NT,5.20% NT REDEEM 15/10/2047 USD 25,5.2,FXD,2018/01/15,2047/07/15,QTR,Y,20.195,2022/10/15,2047/10/14,,20.195,,,26.0974528624663,,1.27111111111111,,25,25,30360,2017/10/04,USD,2017/10/04,2025-04-13,,,,,
860630607,,BBB,11/19/2020,11/19/1931,BND,NT,5.20% NT REDEEM 15/10/2047 USD 25,5.2,FXD,2018/01/15,2047/07/15,QTR,Y,20.195,2022/10/15,2047/10/14,,20.195,,,26.0974528624663,,1.27111111111111,,25,25,30360,2017/10/04,USD,2017/10/04,2025-04-13,,,,,
860630607,,BBB,3/23/2016,4/1/2026,BND,NT,5.20% NT REDEEM 15/10/2047 USD 25,5.2,FXD,2018/01/15,2047/07/15,QTR,Y,20.195,2022/10/15,2047/10/14,,20.195,,,26.0974528624663,,1.27111111111111,,25,25,30360,2017/10/04,USD,2017/10/04,2025-04-13,,,,,
860630607,,BBB,11/21/2017,12/1/2027,BND,NT,5.20% NT REDEEM 15/10/2047 USD 25,5.2,FXD,2018/01/15,2047/07/15,QTR,Y,20.195,2022/10/15,2047/10/14,,20.195,,,26.0974528624663,,1.27111111111111,,25,25,30360,2017/10/04,USD,2017/10/04,2025-04-13,,,,,
001055AQ5,,A-,5/3/2017,5/3/2027,BND,NT,2.875% NT REDEEM 15/10/2026 USD 2000,2.875,FXD,2017/04/15,2026/04/15,SMA,Y,99.88,2016/09/20,2026/07/14,,99.88,99.88,99.88,2.9569901389643,,1.42152777777778,,2000,2000,30360,2016/09/19,USD,2016/09/19,2025-04-13,,,,,
00206RDQ2,,BBB,3/7/2024,3/7/1931,BND,NT,4.25% NT REDEEM 01/03/2027 USD 2000,4.25,FXD,2017/09/01,2026/09/01,SMA,Y,97.84,2017/02/10,2026/11/30,,97.84,97.65,97.9,5.46967154979738,,0.495833333333333,,2000,2000,30360,2017/02/09,USD,2017/02/09,2025-04-13,,,,,
00206RGQ9,,BBB,6/27/2016,6/15/2026,BND,NT,4.30% NT REDEEM 15/02/2030 USD 2000,4.3,FXD,2019/02/15,2029/08/15,SMA,Y,97.18,2018/11/25,2029/11/14,,97.18,96.57,97.18,4.96138474374227,,0.692777777777778,,2000,2000,30360,2018/11/24,USD,2018/08/15,2025-04-13,,,,,
